feature,auc_drop,repeat_std
PAY_0,0.04930987743567835,0.0011735026147316437
months_overdue,0.04877353530706796,0.0027069456138917513
utilization_latest,0.011893613292588054,0.0014956841513940847
BILL_AMT1,0.007271492568374227,0.0018001247854771004
PAY_AMT3,0.00529811388952776,0.0011136926223280301
PAY_AMT2,0.004293365754279817,0.0015670682983672378
PAY_AMT1,0.004268064272335836,0.0016906419754749683
mean_bill,0.0030369445448471533,0.00018413366893108525
LIMIT_BAL,0.0029859308426159283,0.000588626975712394
PAY_AMT4,0.0027846964369817964,0.00044300182228302075
PAY_AMT6,0.0016703359291997029,0.00042419461749495477
payment_to_bill,0.0011134568834270109,0.00013356857829787387
BILL_AMT4,0.0010663588867347862,0.0003818685249701696
PAY_4,0.0006535394692165353,0.00019739274374362236
BILL_AMT6,0.0006269236245742086,0.00020174148792594953
bill_change,0.0005677773031467955,0.0010086843722915066
BILL_AMT5,0.00042295096331831,0.0008632661508778618
PAY_3,0.00019170527607089335,0.00010466445462739954
BILL_AMT2,8.600860907555703e-05,0.0006857784043691535
PAY_2,7.845102355992968e-05,0.00014407803392337072
PAY_5,1.7853426653095344e-05,9.595223575830548e-05
PAY_6,1.7606983647167063e-05,6.30125037114857e-05
PAY_AMT5,-0.00032040329028792947,0.0004294192269833991
BILL_AMT3,-0.0008379336027776555,0.0003392389227378103
