attribute,group,n,default_rate,threshold,tn,fp,fn,tp,recall,precision,false_positive_rate,review_rate,cost_per_1000
SEX,2,3637,0.20868847951608469,0.14,1619,1259,153,606,0.7984189723320159,0.3249329758713137,0.43745656706045866,0.5127852625790487,556.5026120428925
SEX,1,2345,0.23070362473347547,0.14,942,862,93,448,0.8280961182994455,0.3419847328244275,0.4778270509977827,0.55863539445629,565.8848614072494
age_band,31_to_50,3330,0.2105105105105105,0.14,1513,1116,135,566,0.8074179743223966,0.33650416171224734,0.4244960060859643,0.5051051051051051,537.8378378378378
age_band,under_31,2171,0.22017503454629203,0.14,877,816,94,384,0.803347280334728,0.32,0.4819846426461902,0.5527406725011516,592.3537540304008
age_band,over_50,481,0.2515592515592516,0.14,171,189,17,104,0.859504132231405,0.35494880546075086,0.525,0.6091476091476091,569.6465696465697
